# Benchmark In-place prefix-sum (sh = [4000, 25000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.9905838	0.9349762	1.0020142	0.98212177
2	1.6259202	1.5569627	1.2114475	1.5463789
3	1.9097693	1.8429872	1.5738573	1.8337811
4	2.029394	1.9612763	1.824479	1.9563029
6	2.1540546	2.080555	1.9848982	2.076092
8	2.203726	2.127198	2.104408	2.1295807
10	2.2343435	2.1505737	2.158772	2.1516168
12	2.2517343	2.161665	2.1916585	2.1648297
14	2.2729836	2.182314	2.2187903	2.1859882
16	2.2785292	2.1920195	2.2438562	2.1972673
20				
24				
28				
32				
