# Benchmark Prefix-sum (sh = [100, 100, 100, 100])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.89232826	0.8770848	0.69215274	0.9623468
2	0.7149213	0.6824425	0.6231351	1.396026
3	0.7934436	0.75458735	0.6292184	1.761291
4	0.87830555	0.8333053	0.7322904	2.1443884
6	1.036168	0.97828263	0.8914459	2.4910643
8	1.1377621	1.0456264	0.9531499	2.5223837
10	1.1756457	1.140435	1.0070214	2.4838445
12	1.189771	1.1727458	1.0264236	2.4169917
14	1.2183375	1.1995783	1.0576065	2.3844464
16	1.2258463	1.2202222	1.0642709	2.3837094
20				
24				
28				
32				
