# Benchmark Prefix-sum (sh = [100, 100, 10000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.97683185	0.9159199	0.9604939	0.9669576
2	1.4829857	1.4020659	1.2515808	1.4131142
3	1.8866365	1.785783	1.5760573	1.7851796
4	2.2966294	2.1822138	1.9273487	2.178338
6	2.7171059	2.5425906	2.4359128	2.545795
8	2.774398	2.6065655	2.6049838	2.6284108
10	2.6366847	2.5117207	2.5577402	2.5011106
12	2.6017272	2.452001	2.4783676	2.4662645
14	2.405288	2.408662	2.3958907	2.3898883
16	2.5048504	2.4028478	2.3982332	2.369932
20				
24				
28				
32				
