# Benchmark Prefix-sum (sh = [4, 25000000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.9921634	0.99727505	0.9967556	0.9919724
2	1.488201	1.4829289	1.2205456	1.4757403
3	1.5204313	1.8194289	1.5217787	1.821012
4	2.238544	2.2194054	1.8591772	2.2166877
6	2.237796	2.6029925	2.5145485	2.6379535
8	2.2301211	2.753793	2.70803	2.7712264
10	2.232128	2.6433673	2.6093817	2.6486988
12	2.2276733	2.5840118	2.510025	2.5741794
14	2.2304926	2.5286944	2.4579785	2.5152094
16	2.2107608	2.4849732	2.4016566	2.463856
20				
24				
28				
32				
